Country_id,Country Name,Region,World Rank,Region Rank,2022 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Govt Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Govt Expenditure % of GDP ,Population (Millions),GDP (Billions),GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
1,Afghanistan,Asia-Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,7.5,0,38.9,78.7,-5,1,2390,11.7,5.6,13,7.8
2,Albania,Europe,50,30,66.6,55.5,49.8,35.6,89.1,72.1,70.6,70.7,51.1,82,82.6,70,70,3.7,23,15,18.3,30.5,2.8,40.7,-3.5,2,14218,11.7,1.6,1107,76
3,Algeria,Middle East and North Africa,167,13,45.8,27.9,29.7,30.1,67.2,57.1,38.6,50,51.5,80.1,57.4,30,30,13.8,35,26,37.2,37.8,43.9,491.5,-6,0.1,11112,12.8,2.4,1125,53.1
4,Angola,Sub-Saharan Africa,139,29,52.6,39.8,25.3,20.6,86.6,86.4,80,37.6,53.9,61.2,70,30,40,7.5,25,25,9.4,21.3,32.9,215.1,-4,-1.9,6932,7.7,22.3,-1866,127.1
5,Argentina,Americas,144,27,50.1,35.1,57.9,45.1,73.3,53,16.8,55.1,51,37.9,60.6,55,60,12.2,35,25,28.6,39.6,45.4,941.8,-10,-2.8,20751,11.7,42,4123,103
6,Armenia,Europe,58,34,65.3,50.4,33.1,50.8,86.9,78.9,75.5,64.9,47.2,77.5,73.6,75,70,5.7,22,18,22.5,26.5,3,39.4,-7.6,2.6,13261,20.2,1.2,117,62.8
7,Australia,Asia-Pacific,12,4,77.7,91.7,95.2,87,62.5,51.6,52,84.6,64.2,83.2,90,80,90,2.5,45,30,28.7,40.2,25.7,1329.9,-2.4,1.5,51680,6.6,0.9,20146,63.1
8,Austria,Europe,22,15,73.8,98.4,94.6,82.9,45.5,20.3,71.7,82.3,78.4,82.3,79.2,80,70,2.9,55,25,42.4,51.6,8.9,491.5,-6.6,0.4,55218,5.8,1.4,-17340,85.2
9,Azerbaijan,Europe,75,37,61.6,53.6,15.9,28.6,87.7,62.7,99.1,64.6,55.9,74.5,66.6,70,60,9.2,25,20,14.3,35.3,10.1,145.8,-4.3,-0.7,14431,6.3,2.8,507,21.4
10,Bahamas,Americas,38,6,68.7,61.1,78.8,64.3,96.5,85.8,67.3,63.3,69.3,79.2,49,50,60,18,0,0,18.7,21.7,0.4,12.8,-16.3,-1.5,33148,14.4,0,897,68.6
11,Bahrain,Middle East and North Africa,74,4,62,65.9,27.4,41.6,99.9,65.5,0,60.2,54.9,81.1,83,85,80,6,0,0,3,33.9,1.7,73.8,-5.4,1.2,48766,4.1,-2.3,1007,132.9
12,Bangladesh,Asia-Pacific,137,29,52.7,36.3,28.1,22.2,82.6,93.2,54,55.6,36.6,70,63.8,50,40,10.6,25,32.5,7.7,15,164.7,874,3.8,6.8,5307,5.3,5.6,2564,38.9
13,Barbados,Americas,28,4,71.3,72.6,88.2,68.7,80.6,70.8,79.7,64.7,63.4,78.6,58.4,70,60,13.3,28.5,5.5,33.1,31.2,0.3,3.9,-17.6,-3.1,13553,12.8,2.9,262,149
14,Belarus,Europe,135,45,53,34.5,15.5,43.7,93.3,56.7,95.3,54.5,46.8,70.2,75.6,30,20,4.7,13,18,13.3,38,9.4,189.9,-0.9,0.7,20187,5.3,5.5,1397,48
15,Belgium,Europe,37,24,69.6,92.5,91.2,83.6,48.2,10.1,50.3,82.8,57.4,84.3,79.2,85,70,2.9,50,29,42.9,54.8,11.6,588.8,-6.4,0,51096,6,0.4,8437,115
16,Belize,Americas,109,22,56.6,34.7,70.2,38.1,77,64.1,37.6,54,59.9,82.5,55.6,55,50,17.2,25,25,32.4,34.6,0.4,2.5,-14.1,-1.5,6046,7.8,0.1,76,127.4
17,Benin,Sub-Saharan Africa,81,6,61,44.3,55.3,40.3,68.4,91.6,83.4,47.7,59.6,80.4,61.4,50,50,11.8,45,30,15.4,16.7,12.1,41.7,2,4.9,3437,2.5,3,176,45.4
18,Bhutan,Asia-Pacific,94,19,59.3,67.2,60.9,73.5,82.4,71.6,72.4,62.9,57.2,72.7,40.8,20,30,22.1,25,30,15.4,30.7,0.8,9,-0.8,4.2,12060,3.7,4.2,3,120.7
19,Bolivia,Americas,169,30,43,14.1,28.4,28.7,86,58.8,10.9,54.7,46.2,72.8,60.8,15,40,9.6,13,25,24.7,37.1,11.7,97.8,-7.7,1.4,8344,5.6,0.9,-1048,67.3
20,Bosnia and Herzegovina,Europe,68,36,63.4,49.2,37.2,33.4,94,46.2,95.9,66.6,60.2,84.9,68.8,65,60,8.1,10,10,20.1,42.4,3.3,49.3,-5.5,1.5,15047,16.9,-0.6,371,38.3
21,Botswana,Sub-Saharan Africa,61,3,64.8,74.2,70.1,61.4,87.4,59.8,19.2,56.7,61.6,75.4,77.2,65,70,6.4,25,22,12.1,36.6,2.4,39.6,-8.3,1.3,16893,17.7,2,80,20
22,Brazil,Americas,133,26,53.3,50.3,57.2,40,69.9,53.8,0.4,63.2,55.9,78.4,60,60,50,10,27.5,34,33.1,39.2,212.6,3153.6,-4.1,-0.6,14916,13.7,3.2,24778,98.9
186,Brunei Darussalam,Asia-Pacific,62,9,64.8,67,51.6,61.1,90.8,68.1,20,72.4,75,72.3,84.6,65,50,0.2,0,18.5,24,32.6,0.4,28.7,1.2,0.8,62371,8.4,1.9,577,2.9
23,Bulgaria,Europe,29,20,71,77.3,61.1,45.6,93.9,60.5,96.2,72.1,64.4,81.9,79.2,60,60,2.9,10,10,20.3,36.3,6.9,164.6,-3.8,2.1,23817,5.7,1.2,2426,23.8
24,Burkina Faso,Sub-Saharan Africa,100,13,58.3,47,36.3,41.4,81.8,82.3,66.1,41.9,61.6,75.6,61,65,40,9.5,27.5,28,16.8,24.3,20.9,47.3,0.8,5.1,2262,5,1.9,149,44.3
25,Burma,Asia-Pacific,149,32,49.6,23.1,16.7,29.8,87.2,86.8,67.2,41.7,49.6,73.9,69.4,30,20,5.3,25,25,5.9,21,54.4,278.8,3.2,5.7,5242,1.8,5.7,1834,39.3
26,Burundi,Sub-Saharan Africa,172,45,39.4,18.8,7.1,12.2,77.1,76.4,10.3,27.5,41.5,70.3,51,50,30,14.5,35,30,12.9,28.1,11.9,9,-1.3,0.4,760,0.8,7.3,6,69.5
27,Cambodia,Asia-Pacific,106,21,57.1,41.2,20.9,12.3,88.7,81.5,98,55.2,47.8,74.7,64.8,50,50,10.1,20,20,18.2,24.8,16.7,73.6,-3.5,5,4695,0.3,2.9,3625,31.6
28,Cameroon,Sub-Saharan Africa,136,27,52.9,39.1,10.9,19.9,74.7,90.1,78.7,60.4,46.4,79.9,55.2,30,50,14.9,35,33,14.6,18.2,26.5,96.8,-2.8,2.7,3646,3.6,2.8,488,43.2
29,Canada,Americas,15,1,76.6,89.5,96.4,86.7,75.7,39.6,62.8,78.8,68.7,78.2,83.2,80,80,3.4,33,15,33.5,44.9,38,1850.1,-5.4,0.6,48720,9.5,0.7,23823,117.8
30,Cabo Verde,Sub-Saharan Africa,49,2,66.7,66.1,77.4,60.9,77.5,68.1,48.3,59.8,52.4,84.4,66,80,60,12,35,24,21.2,32.6,0.6,3.6,-14,0.9,6424,13.4,0.6,73,139
31,Central African Republic,Sub-Saharan Africa,168,43,45.7,7.1,12.3,18.3,65.3,88.1,95.2,26.5,39.5,75.3,46.2,45,30,16.9,50,30,8.6,19.9,4.8,4.7,0,3.2,979,4.3,2.3,35,44.9
32,Chad,Sub-Saharan Africa,146,34,49.8,28.9,13.6,13.1,44.6,92.7,96.3,28.2,54.5,74.2,52,60,40,14,60,45,13.3,15.6,16.4,26.5,-0.9,-0.7,1611,2.3,3.5,558,43
33,Chile,Americas,20,2,74.4,73,91.4,71.4,72.4,78.1,75.3,76.2,58,79.4,78,70,70,6,40,27,20.7,27,19.1,454.7,-5.8,0.4,23366,11.5,3,8386,32.5
34,China,Asia-Pacific,158,35,48,43.7,37.4,39.3,71.2,64.2,11.1,68.8,57.2,70,73.2,20,20,3.4,45,25,15.2,34.5,1402.1,24142.8,2.3,5.7,17192,5,2.4,149342,66.8
35,Colombia,Americas,60,12,65.1,50.9,59.1,42,71.3,66,56.7,68.8,60.7,79.3,76.4,80,70,6.8,39,31,19.7,33.7,50.9,728.8,-6.8,0.5,14324,15.4,2.5,7690,62.8
36,Comoros,Sub-Saharan Africa,143,33,50.4,28.9,21.2,20.1,63,88.5,96.2,48.3,55.5,81.5,27,45,30,26.5,30,50,17.4,19.5,0.9,2.7,-0.5,2.5,3048,8.4,1.1,9,26.8
37,Congo Democratic Republic of the Congo,Sub-Saharan Africa,160,40,47.6,14.8,13.2,11.8,74.4,95.7,97.4,28.3,54,63.7,68,30,20,8.5,40,30,7.5,11.9,89.6,100.5,-0.1,3.3,1106,4.6,11.3,1647,15.2
